Fecha,Anio,Trimestre,Periodo,Deuda_Externa_Total_MUSD,Deuda_Sector_Publico_MUSD,Deuda_Publica_Federal_MUSD
2009-01-01,2009,1,2009-Q1,229185.07,105688.76,85420.12
2009-04-01,2009,2,2009-Q2,231762.59,110194.42,86082.42
2009-07-01,2009,3,2009-Q3,244967.96,121650.23,91095.42
2009-10-01,2009,4,2009-Q4,251486.09,129050.06,96353.7
2010-01-01,2010,1,2010-Q1,267190.39,134395.85,96773.0
2010-04-01,2010,2,2010-Q2,273056.72,135309.1,96216.2
2010-07-01,2010,3,2010-Q3,292770.08,147892.8,100757.7
2010-10-01,2010,4,2010-Q4,317999.65,166860.85,110428.0
2011-01-01,2011,1,2011-Q1,336361.97,178618.65,110184.8
2011-04-01,2011,2,2011-Q2,354375.17,187436.42,111129.5
2011-07-01,2011,3,2011-Q3,349313.86,187143.22,113469.2
2011-10-01,2011,4,2011-Q4,363914.95,195603.52,116420.2
2012-01-01,2012,1,2012-Q1,391719.89,222489.78,121081.4
2012-04-01,2012,2,2012-Q2,401257.24,226775.78,122132.2
2012-07-01,2012,3,2012-Q3,427866.57,248071.95,123668.6
2012-10-01,2012,4,2012-Q4,451693.93,262186.47,125726.0
2013-01-01,2013,1,2013-Q1,477720.18,282874.66,126402.8
2013-04-01,2013,2,2013-Q2,466746.99,268438.16,125129.2
2013-07-01,2013,3,2013-Q3,483037.76,276073.2,129517.5
2013-10-01,2013,4,2013-Q4,509593.03,286005.63,134435.9
2014-01-01,2014,1,2014-Q1,522604.72,302425.56,142800.3
2014-04-01,2014,2,2014-Q2,546517.94,316110.26,147598.7
2014-07-01,2014,3,2014-Q3,544703.01,310581.4,146446.1
2014-10-01,2014,4,2014-Q4,544166.97,306627.6,147665.8
2015-01-01,2015,1,2015-Q1,548721.72,313290.52,158952.7
2015-04-01,2015,2,2015-Q2,546766.7,311854.71,162356.9
2015-07-01,2015,3,2015-Q3,541719.33,305971.31,163366.1
2015-10-01,2015,4,2015-Q4,538015.17,303881.74,162209.5
2016-01-01,2016,1,2016-Q1,553156.32,310331.77,176066.4
2016-04-01,2016,2,2016-Q2,550978.39,296916.63,179904.8
2016-07-01,2016,3,2016-Q3,556615.22,301122.61,183155.8
2016-10-01,2016,4,2016-Q4,543011.57,288222.69,180986.0
2017-01-01,2017,1,2017-Q1,570065.78,314048.16,187249.3
2017-04-01,2017,2,2017-Q2,581476.31,319521.38,188441.0
2017-07-01,2017,3,2017-Q3,590375.63,325415.91,193724.4
2017-10-01,2017,4,2017-Q4,578618.0,308781.05,193981.2
2018-01-01,2018,1,2018-Q1,602891.51,328488.35,202606.6
2018-04-01,2018,2,2018-Q2,599908.77,316266.46,200903.0
2018-07-01,2018,3,2018-Q3,604938.94,324586.66,201811.4
2018-10-01,2018,4,2018-Q4,592605.95,313275.57,202355.3
2019-01-01,2019,1,2019-Q1,605268.97,328578.46,206299.0
2019-04-01,2019,2,2019-Q2,612598.32,328774.47,208710.0
2019-07-01,2019,3,2019-Q3,611230.11,324166.2,204680.5
2019-10-01,2019,4,2019-Q4,621607.42,331992.84,204684.3
2020-01-01,2020,1,2020-Q1,591937.81,307472.41,210399.9
2020-04-01,2020,2,2020-Q2,605671.19,318772.89,219273.0
2020-07-01,2020,3,2020-Q3,609943.62,324038.56,224360.3
2020-10-01,2020,4,2020-Q4,628510.18,339434.82,223648.6
2021-01-01,2021,1,2021-Q1,613848.36,330287.71,229060.7
2021-04-01,2021,2,2021-Q2,615449.45,326946.76,226818.0
2021-07-01,2021,3,2021-Q3,614517.16,329649.93,225921.6
2021-10-01,2021,4,2021-Q4,602083.45,321162.31,221635.02
2022-01-01,2022,1,2022-Q1,604401.8,324550.23,225678.62
2022-04-01,2022,2,2022-Q2,582017.13,311618.29,219998.72
2022-07-01,2022,3,2022-Q3,571684.32,306502.69,217238.12
2022-10-01,2022,4,2022-Q4,582636.39,317534.25,217786.12
2023-01-01,2023,1,2023-Q1,594371.76,329327.02,221951.32
2023-04-01,2023,2,2023-Q2,596660.52,329756.01,220488.02
2023-07-01,2023,3,2023-Q3,583043.08,319731.49,215250.22
2023-10-01,2023,4,2023-Q4,594002.57,331931.43,215107.82
2024-01-01,2024,1,2024-Q1,609403.14,339896.94,222028.3
2024-04-01,2024,2,2024-Q2,590640.37,324521.21,219009.8
2024-07-01,2024,3,2024-Q3,598637.76,328984.04,224748.5
2024-10-01,2024,4,2024-Q4,590136.08,315551.39,221048.0
2025-01-01,2025,1,2025-Q1,618661.85,341870.43,239987.9
2025-04-01,2025,2,2025-Q2,633750.93,346296.09,240253.4
