Anio,PIB_USD,PIB_MUSD
1960,13040000000.0,13040.0
1961,14160000000.0,14160.0
1962,15200000000.0,15200.0
1963,16960000000.0,16960.0
1964,20080000000.0,20080.0
1965,21840000000.0,21840.0
1966,24320000000.0,24320.0
1967,26560000000.0,26560.0
1968,29360000000.0,29360.0
1969,32480000000.0,32480.0
1970,35520000000.0,35520.0
1971,39200000000.0,39200.0
1972,45200000000.0,45200.0
1973,55280000000.0,55280.0
1974,72000000000.0,72000.0
1975,88000000000.0,88000.0
1976,88875923765.072,88875.923765072
1977,81912018783.5024,81912.0187835024
1978,102648570299.117,102648.57029911701
1979,134531900898.926,134531.900898926
1980,205577055465.993,205577.055465993
1981,263797827860.494,263797.82786049397
1982,184602611609.517,184602.611609517
1983,156167000432.994,156167.00043299398
1984,184230754105.394,184230.754105394
1985,195241069482.077,195241.069482077
1986,134556034672.991,134556.034672991
1987,147542558208.888,147542.558208888
1988,181611150496.787,181611.15049678698
1989,221403098266.77,221403.09826677
1990,261253675692.838,261253.675692838
1991,313139656145.745,313139.656145745
1992,363157832923.734,363157.83292373404
1993,530160763662.543,530160.763662543
1994,553618247900.74,553618.24790074
1995,380157469866.849,380157.469866849
1996,432157945024.428,432157.94502442796
1997,523449530464.257,523449.530464257
1998,557461102630.658,557461.102630658
1999,631249359702.389,631249.359702389
2000,742061329749.127,742061.3297491269
2001,796064590549.136,796064.5905491359
2002,810666116401.915,810666.1164019151
2003,765549967888.647,765549.967888647
2004,819459227375.022,819459.227375022
2005,917571853529.104,917571.853529104
2006,1020265057882.01,1020265.05788201
2007,1102355554880.44,1102355.55488044
2008,1161553459984.65,1161553.45998465
2009,943437415024.633,943437.415024633
2010,1105424238572.81,1105424.23857281
2011,1229013703577.75,1229013.70357775
2012,1255110424665.92,1255110.42466592
2013,1327436290439.27,1327436.29043927
2014,1364507717764.6,1364507.7177646002
2015,1213294467779.98,1213294.46777998
2016,1112233497452.7,1112233.4974527
2017,1190721475906.0,1190721.475906
2018,1256300182775.8,1256300.1827758
2019,1304106203902.45,1304106.20390245
2020,1121064767401.51,1121064.76740151
2021,1316569466735.28,1316569.4667352801
2022,1466464899303.68,1466464.8993036798
2023,1793798859343.27,1793798.85934327
2024,1852722885258.11,1852722.88525811
